ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
12842583,JF414532,09/27/2022 12:00:00 AM,038XX N NEW ENGLAND AVE,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,false,false,1632,016,38,17,08B,1129719,1924648,2022,01/03/2023 03:40:27 PM,41.949517926,-87.798575692,"(41.949517926, -87.798575692)",25,22254,17,444,19,52,12,17
12695076,JF237480,05/10/2022 09:00:00 PM,016XX E 79TH ST,0860,THEFT,RETAIL THEFT,TAVERN / LIQUOR STORE,false,false,0414,004,8,43,06,1188721,1852930,2022,01/03/2023 03:40:27 PM,41.751505533,-87.583994603,"(41.751505533, -87.583994603)",9,22538,39,188,35,24,19,222
12816648,JF383458,09/04/2022 08:00:00 PM,019XX W 87TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE - COMMERCIAL,false,false,2221,022,21,71,14,1165111,1846973,2022,01/03/2023 03:40:27 PM,41.735690345,-87.67068193,"(41.735690345, -87.67068193)",6,21554,70,532,13,59,20,237
12650183,JF183132,03/02/2022 12:59:00 PM,043XX W 55TH ST,1120,DECEPTIVE PRACTICE,FORGERY,GAS STATION,false,false,0815,008,23,62,10,1148550,1867784,2022,01/03/2023 03:40:27 PM,41.793133141,-87.730821849,"(41.793133141, -87.730821849)",23,22248,60,773,15,58,13,271
12794594,JF356220,08/14/2022 09:00:00 AM,062XX S WINCHESTER AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0714,007,15,67,06,1164429,1863307,2022,01/03/2023 03:40:27 PM,41.780527537,-87.672720999,"(41.780527537, -87.672720999)",44,22257,65,275,3,23,17,164
12674972,JF212648,04/06/2022 12:01:00 AM,054XX N CUMBERLAND AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1614,016,41,76,14,1119317,1935156,2022,01/03/2023 03:40:27 PM,41.97852489,-87.836589041,"(41.97852489, -87.836589041)",34,4448,36,735,29,31,12,44
12798591,JF362039,08/19/2022 02:19:00 AM,064XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0312,003,20,69,08B,1180026,1862465,2022,01/03/2023 03:40:27 PM,41.777873967,-87.615565728,"(41.777873967, -87.615565728)",53,22260,9,332,4,60,18,277
12909152,JF494065,12/01/2022 10:30:00 AM,016XX W DIVISION ST,051A,ASSAULT,AGGRAVATED - HANDGUN,COMMERCIAL / BUSINESS OFFICE,false,false,1213,012,1,24,04A,1165376,1908070,2022,01/03/2023 03:40:27 PM,41.903341627,-87.667977785,"(41.903341627, -87.667977785)",24,21560,25,481,41,4,7,200
12689672,JF230723,05/05/2022 03:57:00 AM,038XX W 71ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0833,008,13,65,14,1151773,1857241,2022,01/03/2023 03:40:27 PM,41.764138906,-87.71927936,"(41.764138906, -87.71927936)",23,21867,63,317,15,58,13,209
12616631,JF142660,02/12/2022 07:00:00 PM,035XX N HAMLIN AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,false,true,1732,017,30,21,04A,1150425,1923472,2022,01/03/2023 03:40:27 PM,41.945911152,-87.722493226,"(41.945911152, -87.722493226)",27,21538,22,138,21,39,1,20
